scenario,market,cost_score,reserve_margin_score,lolh_score,resource_adequacy_score,growth_pressure_score,large_load_process_maturity_score,flexibility_maturity_score,screening_score
balanced,PJM,32.92383292383292,46.39639639639638,0.0,23.19819819819819,57.93491109004379,60,60,41.39
balanced,ERCOT,100.0,100.0,100.0,100.0,0.0,100,100,85.0
balanced,MISO,0.0,0.0,53.08056872037915,26.540284360189574,100.0,50,40,37.79
speed_first,PJM,32.92383292383292,46.39639639639638,0.0,23.19819819819819,57.93491109004379,60,60,47.89
speed_first,ERCOT,100.0,100.0,100.0,100.0,0.0,100,100,90.0
speed_first,MISO,0.0,0.0,53.08056872037915,26.540284360189574,100.0,50,40,41.64
cost_first,PJM,32.92383292383292,46.39639639639638,0.0,23.19819819819819,57.93491109004379,60,60,39.76
cost_first,ERCOT,100.0,100.0,100.0,100.0,0.0,100,100,90.0
cost_first,MISO,0.0,0.0,53.08056872037915,26.540284360189574,100.0,50,40,28.14
reliability_first,PJM,32.92383292383292,46.39639639639638,0.0,23.19819819819819,57.93491109004379,60,60,36.74
reliability_first,ERCOT,100.0,100.0,100.0,100.0,0.0,100,100,85.0
reliability_first,MISO,0.0,0.0,53.08056872037915,26.540284360189574,100.0,50,40,38.6
